monitorID,longitude,latitude,elevation,timezone,countryCode,stateCode,siteName,agencyName,countyName,msaName,monitorType,siteID,instrumentID,aqsID,pwfslID,pwfslDataIngestSource,telemetryAggregator,telemetryUnitID
840410510003_01,-122.73762,45.5901,35,America/Los_Angeles,US,OR,Roosevelt High School,Oregon Dept. of Environmental Quality,Multnomah,"Portland-Vancouver-Beaverton, OR-WA",NA,840410510003,01,840410510003,NA,AIRNOW,NA,NA
551250001_01,-89.6536,46.0481,NA,America/Chicago,US,WI,TROUT LAKE,Wisconsin Dept. of Natural Resources,Vilas,NA,NA,551250001,01,551250001,NA,AIRNOW,NA,NA
120573002_01,-82.230617,27.9659,NA,America/New_York,US,FL,SYDNEY,Hillsborough County - Tampa ,Hillsborough,"Tampa-St. Petersburg-Clearwater, FL",NA,120573002,01,120573002,NA,AIRNOW,NA,NA
271390505_01,-93.512497,44.789398,NA,America/Chicago,US,MN,Shakopee,Minnesota Pollution Control Agency,Scott,"Minneapolis-St. Paul-Bloomington, MN-WI",NA,271390505,01,271390505,NA,AIRNOW,NA,NA
350130025_01,-106.751211,32.310332,NA,America/Denver,US,NM,Las Cruces ED,New Mexico Air Quality Bureau,Dona Ana,NA,NA,350130025,01,350130025,NA,AIRNOW,NA,NA
010735003_01,-86.9425,33.8017,NA,America/Chicago,US,AL,CORNER,Jefferson County Department of Health,Jefferson,"Birmingham-Hoover, AL",NA,010735003,01,010735003,NA,AIRNOW,NA,NA
170310001_01,-87.7325,41.6708,NA,America/Chicago,US,IL,ALSIP,Illinois EPA,Cook,"Chicago-Naperville-Joliet, IL-IN-WI",NA,170310001,01,170310001,NA,AIRNOW,NA,NA
060010009_01,-122.169907,37.743061,10,America/Los_Angeles,US,CA,Oakland,San Francisco Bay Area AQMD,Alameda,"San Francisco-Oakland-Fremont, CA",NA,060010009,01,060010009,NA,AIRNOW,NA,NA
320030073_01,-115.332728,36.173415,933,America/Los_Angeles,US,NV,Palo Verde,Clark County Department of Environment and Sustainability ,Clark,"Las Vegas-Paradise, NV",NA,320030073,01,320030073,NA,AIRNOW,NA,NA
150011006_01,-155.110535,19.717562,NA,Pacific/Honolulu,US,HI,Hilo,Hawaii State Dept. of Health,Hawaii,"Hilo, HI",NA,150011006,01,150011006,NA,AIRNOW,NA,NA
080130003_01,-105.100861,40.164585,1522,America/Denver,US,CO,Longmont,Colorado Department of Public Health and Environment,Boulder,"Boulder, CO",NA,080130003,01,080130003,NA,AIRNOW,NA,NA
280450003_01,-89.395798,30.3008,NA,America/Chicago,US,MS,WAVELAND,Mississippi DEQ,Hancock,"Gulfport-Biloxi, MS",NA,280450003,01,280450003,NA,AIRNOW,NA,NA
80011G010_01,-101.68025,21.133894,553,America/Mexico_City,MX,GJ,Estación Facultad de Medicina,Secretaría de Medio Ambiente y Ordenamiento Territorial,Guanajuato,NA,NA,80011G010,01,80011G010,NA,AIRNOW,NA,NA
210930006_01,-85.8517,37.7064,NA,America/New_York,US,KY,ETOWN2,Kentucky DEP,Hardin,"Elizabethtown, KY",NA,210930006,01,210930006,NA,AIRNOW,NA,NA
300870001_01,-106.48982,45.366151,NA,America/Denver,US,MT,Birney,Montana DEQ,Rosebud,NA,NA,300870001,01,300870001,NA,AIRNOW,NA,NA
380171004_01,-96.854698,46.933601,275,America/Chicago,US,ND,Fargo NW,North Dakota Department of Health,Cass,"Fargo, ND-MN",NA,380171004,01,380171004,NA,AIRNOW,NA,NA
040131004_01,-112.066299,33.560299,378,America/Phoenix,US,AZ,North Phoenix,Maricopa County Air Quality Department,Maricopa,"Phoenix-Mesa-Scottsdale, AZ",NA,040131004,01,040131004,NA,AIRNOW,NA,NA
